,County,Rates_opioid,Counts_opioid,Year,Rates_pres,Counts_pres,Rates_heroin,Counts_heroin,Rates_fentanyl,Counts_fentanyl
218,Tulare,1.73,7.0,2018,1.5,6.0,0.0,0.0,0.0,0.0
219,Tuolumne,2.52,1.0,2018,0.0,0.0,2.52,1.0,0.0,0.0
220,Alameda,5.75,103.0,2019,4.33,78.0,1.43,25.0,3.15,56.0
221,Alpine,0.0,0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0
222,Amador,7.81,5.0,2019,7.81,5.0,0.0,0.0,3.94,2.0
223,Butte,5.83,12.0,2019,3.98,8.0,1.85,4.0,1.11,2.0
224,Calaveras,7.79,4.0,2019,4.74,3.0,3.05,1.0,0.0,0.0
225,Colusa,15.66,3.0,2019,15.66,3.0,0.0,0.0,4.84,1.0
226,Contra Costa,7.86,91.0,2019,6.61,76.0,2.19,26.0,4.46,49.0
227,Del Norte,4.67,1.0,2019,4.67,1.0,0.0,0.0,0.0,0.0
228,El Dorado,5.8,10.0,2019,3.4,6.0,1.7,3.0,1.32,2.0
229,Fresno,4.86,48.0,2019,3.95,39.0,0.43,4.0,1.68,15.0
230,Glenn,3.31,1.0,2019,0.0,0.0,3.31,1.0,0.0,0.0
231,Humboldt,19.05,24.0,2019,13.96,18.0,5.75,7.0,6.52,8.0
232,Imperial,7.02,12.0,2019,5.23,9.0,0.49,1.0,3.51,6.0
233,Inyo,14.47,2.0,2019,14.47,2.0,7.54,1.0,6.93,1.0
234,Kern,12.79,117.0,2019,9.95,91.0,3.93,36.0,5.77,54.0
235,Kings,1.06,2.0,2019,1.06,2.0,0.47,1.0,0.0,0.0
236,Lake,32.46,23.0,2019,21.86,15.0,10.59,8.0,5.41,4.0
237,Lassen,23.47,7.0,2019,16.33,5.0,7.15,2.0,7.54,2.0
238,Los Angeles,6.7,707.0,2019,5.28,554.0,2.17,232.0,3.91,406.0
239,Madera,8.33,13.0,2019,7.79,12.0,0.54,1.0,1.82,3.0
240,Marin,9.27,22.0,2019,6.41,15.0,3.67,8.0,5.25,11.0
241,Mariposa,23.4,4.0,2019,23.4,4.0,0.0,0.0,0.0,0.0
242,Mendocino,21.12,18.0,2019,16.82,15.0,8.64,8.0,11.14,9.0
243,Merced,7.74,20.0,2019,6.75,17.0,1.32,4.0,1.5,4.0
244,Modoc,0.0,0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0
245,Mono,0.0,0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0
246,Monterey,4.46,20.0,2019,2.7,12.0,0.0,0.0,2.03,9.0
247,Napa,2.29,3.0,2019,2.29,3.0,0.0,0.0,1.78,2.0
