,County,Year,Employment,Labor Force,Unemployment,Unemployment Rate,Opioid Death Rate,Opioid Death
183,Placer,2018,179658.33333333334,185625.0,5966.666666666667,3.216666666666667,1.37,6.0
184,Placer,2019,182616.66666666666,188566.66666666666,5958.333333333333,3.166666666666666,5.04,21.0
185,Placer,2020,171316.66666666666,184891.66666666666,13575.0,7.375,10.59,38.0
186,Plumas,2015,7077.5,7890.833333333333,815.8333333333334,10.416666666666666,31.3,4.0
187,Plumas,2016,7085.0,7850.833333333333,765.0,9.850000000000001,0.0,0.0
188,Plumas,2017,7075.0,7769.166666666667,695.0,9.041666666666668,2.0,1.0
189,Plumas,2018,7220.833333333333,7816.666666666667,596.6666666666666,7.716666666666666,18.11,2.0
190,Plumas,2019,7260.833333333333,7878.333333333333,615.8333333333334,7.925,11.77,2.0
191,Plumas,2020,6753.333333333333,7559.166666666667,807.5,10.683333333333332,6.28,1.0
192,Shasta,2015,68316.66666666667,74108.33333333333,5783.333333333333,7.824999999999999,4.86,9.0
193,Shasta,2016,69016.66666666667,74216.66666666667,5191.666666666667,7.000000000000001,3.91,9.0
194,Shasta,2017,69633.33333333333,73958.33333333333,4316.666666666667,5.8500000000000005,8.96,15.0
195,Shasta,2018,70175.0,73900.0,3725.0,5.033333333333332,2.65,4.0
196,Shasta,2019,69291.66666666667,72816.66666666667,3525.0,4.833333333333333,7.98,13.0
197,Shasta,2020,66475.0,72825.0,6333.333333333333,8.716666666666667,10.01,17.0
198,Riverside,2015,963825.0,1033458.3333333334,69641.66666666667,6.733333333333333,2.82,70.0
199,Riverside,2016,987183.3333333334,1051608.3333333333,64425.0,6.133333333333334,2.41,61.0
200,Riverside,2017,1014925.0,1071591.6666666667,56666.666666666664,5.283333333333333,2.94,72.0
201,Riverside,2018,1041483.3333333334,1090133.3333333333,48641.666666666664,4.45,3.08,76.0
202,Riverside,2019,1058716.6666666667,1105700.0,47000.0,4.25,6.88,172.0
203,Riverside,2020,997716.6666666666,1107708.3333333333,109991.66666666667,9.958333333333334,12.89,323.0
204,Sacramento,2015,643291.6666666666,684583.3333333334,41275.0,6.033333333333334,1.74,28.0
205,Sacramento,2016,656366.6666666666,693958.3333333334,37625.0,5.433333333333334,2.44,40.0
206,Sacramento,2017,664191.6666666666,696941.6666666666,32750.0,4.691666666666666,2.38,39.0
207,Sacramento,2018,676783.3333333334,704191.6666666666,27400.0,3.8916666666666675,3.45,52.0
208,Sacramento,2019,683550.0,710158.3333333334,26616.666666666668,3.741666666666666,5.95,95.0
209,Sacramento,2020,641625.0,707191.6666666666,65558.33333333333,9.291666666666666,5.27,82.0
210,Monterey,2015,200458.33333333334,218266.66666666666,17833.333333333332,8.258333333333335,1.34,6.0
211,Monterey,2016,201983.33333333334,218800.0,16825.0,7.766666666666668,0.85,4.0
212,Monterey,2017,203775.0,219641.66666666666,15866.666666666666,7.308333333333333,0.66,3.0
213,Monterey,2018,207691.66666666666,221958.33333333334,14258.333333333334,6.491666666666666,0.86,4.0
214,Monterey,2019,207083.33333333334,221158.33333333334,14066.666666666666,6.416666666666667,2.7,12.0
215,Monterey,2020,190375.0,213466.66666666666,23083.333333333332,10.783333333333333,5.34,23.0
216,San Benito,2015,27483.333333333332,29750.0,2266.6666666666665,7.608333333333333,3.43,2.0
217,San Benito,2016,28383.333333333332,30450.0,2033.3333333333333,6.7,1.64,1.0
218,San Benito,2017,28841.666666666668,30608.333333333332,1775.0,5.825,4.88,3.0
219,San Benito,2018,29608.333333333332,31208.333333333332,1591.6666666666667,5.108333333333333,3.22,2.0
220,San Benito,2019,30633.333333333332,32250.0,1625.0,5.05,7.98,5.0
221,San Benito,2020,28391.666666666668,31516.666666666668,3116.6666666666665,9.883333333333335,5.19,3.0
222,San Bernardino,2015,859750.0,919316.6666666666,59558.333333333336,6.491666666666666,1.0,21.0
223,San Bernardino,2016,876383.3333333334,930241.6666666666,53866.666666666664,5.783333333333334,0.96,21.0
224,San Bernardino,2017,895883.3333333334,942691.6666666666,46808.333333333336,4.966666666666668,1.56,34.0
225,San Bernardino,2018,915666.6666666666,955050.0,39375.0,4.125,2.46,52.0
226,San Bernardino,2019,927375.0,965016.6666666666,37633.333333333336,3.8916666666666675,4.58,99.0
227,San Bernardino,2020,874916.6666666666,966208.3333333334,91300.0,9.491666666666667,10.97,242.0
228,San Diego,2015,1467683.3333333333,1548791.6666666667,81116.66666666667,5.241666666666666,4.93,179.0
229,San Diego,2016,1489141.6666666667,1563250.0,74116.66666666667,4.741666666666666,4.92,175.0
230,San Diego,2017,1508216.6666666667,1571866.6666666667,63641.666666666664,4.041666666666667,6.02,220.0
231,San Diego,2018,1526358.3333333333,1579750.0,53383.333333333336,3.3749999999999996,5.45,196.0
232,San Diego,2019,1528291.6666666667,1580058.3333333333,51791.666666666664,3.266666666666667,6.46,227.0
233,San Diego,2020,1396541.6666666667,1538358.3333333333,141816.66666666666,9.275,13.69,477.0
234,San Francisco,2015,521566.6666666667,541416.6666666666,19841.666666666668,3.6750000000000003,7.55,74.0
235,San Francisco,2016,536975.0,555333.3333333334,18341.666666666668,3.3000000000000003,6.87,70.0
236,San Francisco,2017,546825.0,563433.3333333334,16600.0,2.9499999999999997,6.78,70.0
237,San Francisco,2018,554975.0,568675.0,13700.0,2.4,11.77,116.0
238,San Francisco,2019,566600.0,579558.3333333334,12975.0,2.2416666666666667,23.15,240.0
239,San Francisco,2020,512516.6666666667,556050.0,43516.666666666664,7.900000000000001,41.94,419.0
240,San Luis Obispo,2015,132291.66666666666,138925.0,6608.333333333333,4.7749999999999995,7.49,22.0
241,San Luis Obispo,2016,133450.0,139475.0,6041.666666666667,4.333333333333333,2.08,7.0
242,San Luis Obispo,2017,135266.66666666666,140350.0,5083.333333333333,3.6250000000000004,2.36,7.0
243,San Luis Obispo,2018,135866.66666666666,140100.0,4233.333333333333,3.016666666666667,2.7,8.0
244,San Luis Obispo,2019,135508.33333333334,139591.66666666666,4083.3333333333335,2.9166666666666665,4.09,11.0
